target,input_dcp,dataset,group,excluded_from_optimization,ceiling_mhz,target_95_mhz,assigned_host,status
boom_soc,benchmarks/boom_soc_2025.1.dcp,train,public_12,false,105.999576,100.699597,,pending
corescore_500_mod,benchmarks/corescore_500_mod_2025.1.dcp,train,public_12,false,416.146484,395.339160,,pending
finn_radioml,benchmarks/finn_radioml_2025.1.dcp,train,public_12,false,345.065562,327.812284,,pending
ispd16_example2,benchmarks/ispd16_example2_2025.1.dcp,train,public_12,false,132.766861,126.128518,,pending
corundum_axis_fabric_01,benchmarks/self-added/generated/corundum_axis_fabric_01_routed.dcp,test,generated,true,188.822000,179.380900,,pending
corundum_axis_fabric_hard_01,benchmarks/self-added/generated/corundum_axis_fabric_hard_01_routed.dcp,test,generated,true,139.958000,132.960100,,pending
fsa_systolic_array_01,benchmarks/self-added/fsa_systolic_array_01_routed.dcp,train,generated,false,91.224229,86.663018,,pending
nvdla_mularray_large_01,benchmarks/self-added/generated/nvdla_mularray_large_01_routed.dcp,test,generated,true,171.792000,163.202400,,pending
nvdla_mularray_xl_01,benchmarks/self-added/generated/nvdla_mularray_xl_01_routed.dcp,train,generated,false,161.551000,153.473450,,pending
stress_congestion_xl,benchmarks/self-added/extracted/stress_original/stress_congestion_xl_original.dcp,test,generated,true,336.700000,319.865000,,pending
stress_fft_cordic_l,benchmarks/self-added/extracted/stress_original/stress_fft_cordic_l_original.dcp,test,generated,true,355.999000,338.199050,,pending
vortex_xbar_large_01,benchmarks/self-added/generated/vortex_xbar_large_01_routed.dcp,test,generated,true,146.757000,139.419150,,pending
amd_mini-isp,benchmarks/amd_mini-isp_2025.1.dcp,train,public_12,false,407.664085,387.280881,,pending
logicnets_jscl,benchmarks/logicnets_jscl_2025.1.dcp,train,public_12,false,554.324000,526.607800,,pending
rosetta_3d-rendering,benchmarks/rosetta_3d-rendering_2025.1.dcp,train,public_12,false,291.375291,276.806526,,pending
rosetta_digit-recognition,benchmarks/rosetta_digit-recognition_2025.1.dcp,train,public_12,false,409.500410,389.025389,,pending
rosetta_optical-flow,benchmarks/rosetta_optical-flow_2025.1.dcp,train,public_12,false,340.483487,323.459313,,pending
rosetta_spam-filter,benchmarks/rosetta_spam-filter_2025.1.dcp,train,public_12,false,455.166136,432.407829,,pending
vexriscv_re-place,benchmarks/vexriscv_re-place_2025.1.dcp,train,public_12,false,484.496000,460.271000,,pending
vtr_mcml,benchmarks/vtr_mcml_2025.1.dcp,train,public_12,false,78.995181,75.045422,,pending
aes_active,benchmarks/self-added/extracted/ref_project_dcp_suite/original/aes_active_original.dcp,train,generated,false,369.004000,350.553800,,pending
dblclockfft_fft_l,benchmarks/self-added/extracted/ref_project_dcp_suite/original/dblclockfft_fft_l_original.dcp,train,generated,false,592.768000,563.129600,,pending
dblclockfft_fft_m,benchmarks/self-added/extracted/ref_project_dcp_suite/original/dblclockfft_fft_m_original.dcp,train,generated,false,606.796000,576.456200,,pending
dblclockfft_fft_s,benchmarks/self-added/extracted/ref_project_dcp_suite/original/dblclockfft_fft_s_original.dcp,train,generated,false,723.066000,686.912700,,pending
fpl26_selfbuilt_01,benchmarks/self-added/generated/fpl26_selfbuilt_01_routed_cleanio.dcp,train,generated,false,252.143000,239.535850,,pending
nvdla_mularray_basic_01,benchmarks/self-added/generated/nvdla_mularray_basic_01_routed.dcp,train,generated,false,202.224000,192.112800,,pending
or1200_active,benchmarks/self-added/extracted/ref_project_dcp_suite/original/or1200_active_original.dcp,test,generated,true,235.793000,224.003350,,pending
raygentop_active,benchmarks/self-added/extracted/ref_project_dcp_suite/original/raygentop_active_original.dcp,train,generated,false,641.437000,609.365150,,pending
stress_fft_cordic_m,benchmarks/self-added/extracted/stress_original/stress_fft_cordic_m_original.dcp,train,generated,false,374.953000,356.205350,,pending
stress_soc_l,benchmarks/self-added/extracted/stress_original/stress_soc_l_original.dcp,test,generated,true,356.379000,338.560050,,pending
tcam_active,benchmarks/self-added/extracted/ref_project_dcp_suite/original/tcam_active_original.dcp,train,generated,false,695.894000,661.099300,,pending
verilog_cordic_core_cordic_l,benchmarks/self-added/extracted/ref_project_dcp_suite/original/verilog_cordic_core_cordic_l_original.dcp,train,generated,false,774.593000,735.863350,,pending
verilog_cordic_core_cordic_m,benchmarks/self-added/extracted/ref_project_dcp_suite/original/verilog_cordic_core_cordic_m_original.dcp,train,generated,false,821.018000,779.967100,,pending
verilog_cordic_core_cordic_s,benchmarks/self-added/extracted/ref_project_dcp_suite/original/verilog_cordic_core_cordic_s_original.dcp,train,generated,false,1051.525000,998.948750,,pending
vortex_xbar_basic_01,benchmarks/self-added/generated/vortex_xbar_basic_01_routed.dcp,train,generated,false,222.717000,211.581150,,pending
