"example","split","original_fmax_mhz","codex_fmax_mhz","codex_time_s","codex_cost_usd"
"BOOM SoC","train","48.2","48.236940","2315.393","1.538131"
"CoreScore-500","train","344.2","346.500347","2315.455","2.469871"
"FINN RadioML","train","284.9","303.122158","2924.142","3.884335"
"ISPD16 Example2","train","107.6","107.642626","2784.440","1.261240"
"Corundum AXIS Fabric","test","179.1","179.147259","1547.280","1.825034"
"Corundum AXIS Fabric-Hard","test","140.0","139.958013","2191.660","1.409918"
"FSA Systolic Array","train","82.8","82.808877","3145.417","6.052810"
"NVDLA Multi-array Large","test","158.1","158.077774","2255.861","2.205422"
"NVDLA Multi-array XL","train","152.5","153.657037","2214.397","1.026725"
"Stress Congestion XL","test","305.2","305.157156","2485.097","3.888266"
"Stress FFT-CORDIC-L","test","338.4","338.409475","1403.414","1.988486"
"Vortex Xbar Large","test","146.8","146.756677","2671.843","1.400290"
"AMD Mini-ISP","train","307.1","407.166124","1254.184","5.146076"
"LogicNets JSCL","train","403.6","451.467269","2106.571","4.014845"
"Rosetta 3D Rendering","train","270.9","279.798545","1205.972","2.717819"
"Rosetta Digit Recognition","train","367.0","374.953131","1441.711","2.901938"
"Rosetta Optical Flow","train","324.9","332.225914","801.125","4.521286"
"Rosetta Spam Filter","train","437.4","437.445319","934.564","7.349810"
"VexRiscv Re-place","train","310.2","432.338954","730.299","5.305428"
"VTR MCML","train","62.2","66.591197","1973.612","3.345484"
"AES","train","334.0","339.673913","1086.741","9.774458"
"Double-Clock FFT-L","train","442.5","502.260171","650.354","5.034213"
"Double-Clock FFT-M","train","456.4","572.737686","320.427","1.534384"
"Double-Clock FFT-S","train","477.1","529.380625","356.042","2.869415"
"FPL26 Self-built","train","235.0","250.125063","968.779","1.078531"
"NVDLA Multi-array Basic","train","189.9","192.159877","1821.062","1.810759"
"OpenRISC 1200","test","209.0","216.919740","633.038","3.784852"
"RaygenTop","train","451.3","583.771162","463.498","4.465676"
"Stress FFT-CORDIC-M","train","343.9","347.947112","2181.138","5.430325"
"Stress SoC-L","test","326.9","326.904217","2280.758","4.634519"
"TCAM","train","561.8","722.543353","440.977","2.912267"
"Verilog CORDIC-L","train","456.6","774.593338","1314.450","8.803380"
"Verilog CORDIC-M","train","473.7","653.594771","599.474","6.353765"
"Verilog CORDIC-S","train","682.1","967.117988","649.387","7.666435"
"Vortex Xbar Basic","train","210.5","212.856535","862.618","2.804831"
