"example","split","original_fmax_mhz","datuner_fmax_mhz","datuner_time_s"
"BOOM SoC","train","48.2","62.418076","20911.640"
"CoreScore-500","train","344.2","420.875421","16087.384"
"FINN RadioML","train","284.9","269.541779","8267.668"
"ISPD16 Example2","train","107.6","107.6","43548.853"
"Corundum AXIS Fabric","test","179.1","182.116190","37733.975"
"Corundum AXIS Fabric-Hard","test","140.0","144.948543","45161.823"
"FSA Systolic Array","train","82.8","87.5","21453.12"
"NVDLA Multi-array Large","test","158.1","161.864681","43393.006"
"NVDLA Multi-array XL","train","152.5","159.337157","43463.430"
"Stress Congestion XL","test","305.2","342.583076","40255.757"
"Stress FFT-CORDIC-L","test","338.4","348.796652","19791.442"
"Vortex Xbar Large","test","146.8","136.873802","8010.690"
"AMD Mini-ISP","train","307.1","405.844156","1751.115"
"LogicNets JSCL","train","403.6","469.263257","9820.864"
"Rosetta 3D Rendering","train","270.9","281.293952","18863.965"
"Rosetta Digit Recognition","train","367.0","409.836066","24354.935"
"Rosetta Optical Flow","train","324.9","345.781466","11978.685"
"Rosetta Spam Filter","train","437.4","445.235975","14046.316"
"VexRiscv Re-place","train","310.2","390.930414","1821.062"
"VTR MCML","train","62.2","67.272116","8887.415"
"AES","train","334.0","371.471025","5253.074"
"Double-Clock FFT-L","train","442.5","554.323725","3281.030"
"Double-Clock FFT-M","train","456.4","577.367206","2413.460"
"Double-Clock FFT-S","train","477.1","668.449198","1627.719"
"FPL26 Self-built","train","235.0","254.647313","18682.983"
"NVDLA Multi-array Basic","train","189.9","208.029956","19868.014"
"OpenRISC 1200","test","209.0","224.971879","4588.687"
"RaygenTop","train","451.3","578.703704","1466.423"
"Stress FFT-CORDIC-M","train","343.9","369.276219","11055.206"
"Stress SoC-L","test","326.9","354.484225","15865.400"
"TCAM","train","561.8","715.307582","1373.076"
"Verilog CORDIC-L","train","456.6","661.813369","8715.877"
"Verilog CORDIC-M","train","473.7","726.216412","520.094"
"Verilog CORDIC-S","train","682.1","1030.927835","1242.039"
"Vortex Xbar Basic","train","210.5","252.844501","26903.456"
